Record Id,Account Segmentation Name,Account Segmentation Owner.id,Account Segmentation Owner,Created By.id,Created By,Modified By.id,Modified By,Created Time,Modified Time,Last Activity Time,Currency,Tag,Unsubscribed Mode,Unsubscribed Time,Is Uni?,Department (ภาควิชา),Faculty (คณะ),Products,Account Code,Original Account Record.id,Original Account Record,Note,Business Sector,Activities,Secondary Industry,Primary Industry,Locked,Website,Winspeed CUSTID,Connected To.module,Connected To.id
zcrm_4312195000052702083,โรงเรียนสายธรรมจันทร์,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:21:50,2023-03-16 14:21:50,,THB,,,,false,,,,ZH-SC-SAI,zcrm_4312195000039884372,โรงเรียนสายธรรมจันทร์,,เอกชน,,,School,false,,156004,,
zcrm_4312195000052702084,บริษัท เอสซีจี แพคเกจจิ้ง จำกัด (มหาชน),zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:21:50,2023-03-16 14:21:50,,THB,,,,false,,,Packaging,ZH-SCGP,zcrm_4312195000039770146,บริษัท เอสซีจี แพคเกจจิ้ง จำกัด (มหาชน),,เอกชน,Manufacturing,,Packaging,false,https://investor.scgpackaging.com/th,156001,,
zcrm_4312195000052702085,บริษัท โตเกียว อิ๊งค์ (ประเทศไทย) จำกัด,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:21:50,2023-03-16 14:21:50,,THB,,,,false,,,,ZH-TKI,zcrm_4312195000039643994,บริษัท โตเกียว อิ๊งค์ (ประเทศไทย) จำกัด,เม็ดพลาสติก,เอกชน,,,Plastic and Rubber,false,http://www.tokyoinkthailand.com/,155015,,
zcrm_4312195000052702086,"LT Vietnam Technology Co.,Ltd",zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:21:50,2023-03-16 14:21:50,,THB,,,,false,,,,ZH-LTVT,zcrm_4312195000039433232,"LT Vietnam Technology Co.,Ltd","เครื่องมือวิทยาศาสตร์,เคมีภัณฑ์ เวียตนาม",เอกชน,Distribution,,Scientific Distributor,false,,155013,,
zcrm_4312195000052702087,บริษัท ศูนย์ห้องปฏิบัติการและวิจัยทางการแพทย์และการเกษตรแห่งเอเซีย จำกัด (มหาชน),zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:21:50,2023-03-16 14:21:50,,THB,,,,false,,,"F&B,Pharmarcy",ZH-AMARC,zcrm_4312195000038866571,บริษัท ศูนย์ห้องปฏิบัติการและวิจัยทางการแพทย์และการเกษตรแห่งเอเซีย จำกัด (มหาชน),เกษตร อาหาร และ ยา,เอกชน,Lab Service,,Lab service,false,https://amarc.co.th/,155012,,
zcrm_4312195000052702088,XL Biotech,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:21:50,2023-03-16 14:21:50,,THB,,,,false,,,Chemical,ZH-DL-XL001,zcrm_4312195000038795751,บริษัท เอ็กซ์แอล ไบโอเทค จำกัด,เคมีภัณฑ์,เอกชน,Distribution,,Scientific Distributor,false,https://www.xlbiotec.com/collections/all,155009,,
zcrm_4312195000052702089,บริษัท เชียงใหม่ วีเอ็ม จำกัด,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:21:50,2023-03-16 14:21:50,,THB,,,,false,,,"Chemical,Lab instrument",ZH-DL-CM003,zcrm_4312195000038730452,บริษัท เชียงใหม่ วีเอ็ม จำกัด,"เครื่องมือวิทยาศาสตร์,เคมีภัณฑ์",เอกชน,Distribution,,Scientific Distributor,false,https://www.facebook.com/CMVM2000/,155008,,
zcrm_4312195000052702090,Wendt Grinding Technologies Limited,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:21:50,2023-03-16 14:21:50,,THB,,,,false,,,,ZH-WGTL,zcrm_4312195000038402088,Wendt Grinding Technologies Limited,grinding machine,เอกชน,,Machinery,Manufacturing,false,,155005,,
zcrm_4312195000052702091,ศูนย์อ้างอิงโรคปากและเท้าเปื่อย ภูมิภาคเอเชียตะวันออกเฉียงใต้,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:21:50,2023-03-16 14:21:50,,THB,,,,false,,,,ZH-DLD-RRL,zcrm_4312195000038387596,ศูนย์อ้างอิงโรคปากและเท้าเปื่อย ภูมิภาคเอเชียตะวันออกเฉียงใต้,โรคปากเท้าเปื่อย,ราชการ,,Mouth and Feet,Healthcare,false,,155007,,
zcrm_4312195000052702092,บริษัท วีว่าวาเลอรี่ จำกัด,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:21:50,2023-03-16 14:21:50,,THB,,,,false,,,Personal care,ZH-VIV,zcrm_4312195000038387207,บริษัท วีว่าวาเลอรี่ จำกัด,สบู่,เอกชน,Manufacturing,,Consumer Goods,false,,155006,,
