Stockcode,Descripiton,blue_oracle_layout,LEGACY_FLAG,Cat,Sub Cat,SBU,HIERARCHY_L6_DESC,SOURCE_SUBSIDIARY
900000000000,XX6320115 POWER SUPPLY 115V,XX6320115,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Other Lab Materials FB&O (080),1975 Merck Millipore USA
900000000000,MZAAWG101 MICROFIL 100 & EZ PAK AAWG,MZAAWG101,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),In Process Testing (066),1945 Merck Millipore France
900000000000,MHA000P2D Wallerstein Liquid Media Ampoule,MHA000P2D,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),In Process Testing (066),1975 Merck Millipore USA
900000000000,CNHADV310 STERISECURE STERILITY TESTING DEVICE F/D,CNHADV310,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Release Testing (064),1945 Merck Millipore France
1442010001,"1442010001 Power Supply, 230 / 240 V (EU)",,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Environmental Monitoring (063),1945 Merck Millipore France
1442460001,1442460001 Tri-Clamp Cable Transfer 1 PC,,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Environmental Monitoring (063),1945 Merck Millipore France
1454970001,"1454970001 Contact Bushing 2.5 mm, RCS Standard",,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
1464920010,1464920010 TSB + TLHC (Inactivator B.) 58200090-10P,,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Release Testing (064),1945 Merck Millipore France
1465390200,1465390200 TS-Cont. +LT +Cephase-ICR+ 823-200P,,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Environmental Monitoring (063),1945 Merck Millipore France
1667030020-CN,1667030020-CN SDA +LT ICR+ 90mm 20 P,,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Environmental Monitoring (063),1213 Merck Life Science Tech. Nantong
17194-5VL,17194-5VL PARK AND SANDERS SELECTIVE SUPPLEMENT II,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2066 Aldrich Chemical Co. LLC (USA)
5712000002,5712000002 Silicone tubing for pump  d PACKAGING OF,,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Pathogen Testing (078),1190
900000000000,EZFKIT001JP EZ-Fluo System Kit (JP),EZFKIT001JP,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Other Lab Materials FB&O (080),1945 Merck Millipore France
910000000000,"MKHAWG474 EZFIT Mani w/ 4 bx EZ-Pak, 0,45µ, whi",MKHAWG474,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),In Process Testing (072),1945 Merck Millipore France
910000000000,EFGSW25IS EZ FIT Pink Funnel GSWG 250ml Ind,EFGSW25IS,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),In Process Testing (072),1945 Merck Millipore France
910000000000,GSTRAINJ21 Assurance GDS e-learning - how to use -,GSTRAINJ21,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology FB&O (068),1945 Merck Millipore France
910000000000,RDSMNT211 ReadyStream® OS Essential service plan,RDSMNT211,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
940000000000,MASMHVAC1 MAS-100 Iso MH Gemü valve connection,MASMHVAC1,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
T2117-500G,T2117-500G Thiol brothNutriSelect Plus,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2066 Aldrich Chemical Co. LLC (USA)
