Stockcode,Descripiton,Cat,Sub Cat,SBU,,,,,,,,,,,,,,,,,,,,,
1004270500,Listeria agar (base) 500 G          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1015900500,AZIDE DEXTROSE BROTH FOR MICROBIOLOGY (3         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1038650500,Glucose OF (Oxidative/Fermen 500 G          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1072149025,"PEPTONE FROM MEAT PANCREATIC DIGESTED, G         ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1112780500,AGAR M FC FOR MICROBIOLOGY (52 G FOR 1 L     ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1301960021,HY-LITE JET A1 FUEL TEST KIT 20 X 1 TEST     ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1323810001,Anaerocult® A for microbiolo 10X1PIECE          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1463170070,Tryptic Soy Broth acc EP+USP -70P         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1464840006,#NAME?,BioM,,,,,,,,,,,,,,,,,,,,,,,
1465290100,ICR-Swab 60515-100P             ,BioM,,,,,,,,,,,,,,,,,,,,,,,
5553680001,Dispensing Tubing Booster Pu 1 PC         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXPELEHUB,MILLIFLEX ELECTRICAL HUB VHP COMPATIBLE          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
XX2604701,PVC HOLDER SUPPORT            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
QSMEDEV02,Milliflex Quantum Method Development           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
TSSEMIN02,Steritest Advanced Operator Training           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
TQ00F0AM,FOAM FOR EQUINOX MAINTENANCE           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXRPELVAL,MFX RAPID SPRAYER ELECTROVALVES           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
SBC0MHSNG,COMMUNICATION HUB HOUSING FOR SYMBIO          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
SBCALBNCH,MAINTENANCE BENCH FOR SYMBIO           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
