Stockcode,Descripiton,Cat,Sub Cat,SBU
TW-10X5ML-B,MS-273 (human),Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TA-1L-BK,TA MS-258/MS-80 Anti-E,Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
JN-1L-BK,"JN, monoclonal IgM Anti-S",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TM-1L-BK,"TM-1L-BK TM, ES-15/ES-4 A",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
BK-5ML-B,"BK, AEK4 Anti-K Reagent",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TN-10X10ML-U,BIOSCOT Anti-B from clon,Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
NY-10X2ML-U,BIOSCOT Anti-Leb from cl,Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
NB-1L-BK,BIOSCOT(R)Anti-Lea from,Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TJ-2ML-B,"TJ, MS-94 Anti-S 1x2mL,",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TR-1L-BK,BIOSCOT(R) Anti-K from,Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
JV-10ML-SAM,Anti-D from the clone,Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
NB-2ML-B,"NB,Anti-Lea Reagent 1x2mL",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TU-1L-BK,BIOSCOT(R) Anti-e from,Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
JV-10L-BK,"JV, Monoclonal IgM Anti-D",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
KZ-10L-BKK,"KZ, Monoclonal IgM Anti-e",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TV-1L-BK,Anti-c clone MS-35 IgM,Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TN-1L-BK,"TN-1L-BK TN, LB-2 Anti-B",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TS-10X10ML-B,"TS,Anti-Human10x10ML",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
GI-10X5ML-B,MS-12/MS260 (human),Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TB-2ML-B,"TB, P3BER,  Anti-s 1x2mL",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TT-5ML-B,Monoclonal Control,Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
BE-10X2ML-U,BIOSCOT Anti-Jkb from cl,Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TL-10X10ML-B,"TL, Anti-A Reagent",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TM-10X10ML-B,"TM, Anti A,B Reagent",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
FRINBI,FREIGHT-INBOUND BI,Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
GG-1L-BK,"GG-1L-BK GG, RUM-1 Anti-D",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
GK-1L-BK,"GK-1L-BK GK, Anti-e Reage",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
YIFRS057,IFRS15 REBATE SKU FOR SBU,Diagnostics & Regulated Materials,Molecular Materials,Magprep
QC1388-20ML,DEMAND  (LOW LEVEL),Chemistry,Reference Materials (RM),Custom RM & PT
QC3130-500ML,DEMAND - WHOLE VOLUME,Chemistry,Reference Materials (RM),Custom RM & PT
SPE004-50G,HERBICIDES IN SOIL - PT,Chemistry,Reference Materials (RM),Custom RM & PT
QC1130-20ML,Demand,Chemistry,Reference Materials (RM),Custom RM & PT
SQC016-10G,DIOXIN AND FURANS IN SOIL,Chemistry,Reference Materials (RM),Custom RM & PT
MIC016-10EA,ENTEROCOCCI PRESENCE/ABSE,Chemistry,Reference Materials (RM),Custom RM & PT
