product_code,product_description,sbu_code,sbu_description,business_field_desc,business_field_code,business_unit_code,business_unit_desc
100020.1000,ACETONE FOR LIQUID CHROMATOGRAPHY LICHRO,526,Solvents Instrumental Analysis,Analytical Chemistry & Solvents,C45,LR2,Chemistry
100700.0100,THIOGLYCOLIC ACID GR FOR ANALYSIS,529,Mobile and Photometry Workflows,Analytical Chemistry & Solvents,C45,LR2,Chemistry
101512.0100,SILVER NITRATE FOR ANALYSIS EMSURE,702,Classical Inorganics for QC,Analytical Chemistry & Solvents,C45,LR2,Chemistry
101878.0100,BISMUTH(III) NITRATE BASIC FOR ANALYSIS,702,Classical Inorganics for QC,Analytical Chemistry & Solvents,C45,LR2,Chemistry
102382.0500,CALCIUM CHLORIDE DIHYDRATE CRYST. P.A.,702,Classical Inorganics for QC,Analytical Chemistry & Solvents,C45,LR2,Chemistry
102838.1000,L-CYSTEINE FOR BIOCHEMISTRY 1 KG,777,Biochem Specialty & Kits,Biochemistry,C35,LR2,Chemistry
104302.0025,HEMATOXYLIN (C.I. 75290) CRYST.,649,H & H - Blue,Regulated Materials,AS9,LA4,Diagnostics & Regulated Materials
104817.0250,POTASSIUM CHLORIDE SOLUTION 3 MOL/L,527,Analytical Technologies,Analytical Chemistry & Solvents,C45,LR2,Chemistry
105092.0250,POTASSIUM PEROXODISULFATE FOR ANALYSIS,702,Classical Inorganics for QC,Analytical Chemistry & Solvents,C45,LR2,Chemistry
105426.1000,Ammonia solution 32% 1 L,702,Classical Inorganics for QC,Analytical Chemistry & Solvents,C45,LR2,Chemistry
106011.2500,"METHANOL ECD FID SUPRASOLV 2,5 L",526,Solvents Instrumental Analysis,Analytical Chemistry & Solvents,C45,LR2,Chemistry
106278.0025,ALIZARINRED S 25 G,737,Safety & Essentials,Analytical Chemistry & Solvents,C45,LR2,Chemistry
106278.0100,ALIZARINRED S 100 G,737,Safety & Essentials,Analytical Chemistry & Solvents,C45,LR2,Chemistry
107233.0100,"PHENOLPHTHALEIN INDICATOR PH 8,2 - 9,8",737,Safety & Essentials,Analytical Chemistry & Solvents,C45,LR2,Chemistry
109542.0001,PH-INDICATOR STRIPS NON-BLEEDING SPECIAL,519,Rapid Chemical Testing,Analytical Chemistry & Solvents,C45,LR2,Chemistry
109600.0100,ACETYLACETONE FOR ANALYSIS EMSURE®,736,Classical Solvents for QC,Analytical Chemistry & Solvents,C45,LR2,Chemistry
110012.0001,CHROMATE TEST 3 - 10 - 30 - 100 MG/L 1,519,Rapid Chemical Testing,Analytical Chemistry & Solvents,C45,LR2,Chemistry
159002.1000,Acetonitrile with 0.1% (v/v) 1 L,526,Solvents Instrumental Analysis,Analytical Chemistry & Solvents,C45,LR2,Chemistry
802301.0025,"1,1'-CARBONYLDIIMIDAZOLE FOR SYNTHESIS",650,Organics,Chemical Synthesis & Discovery Chemistry,C34,LR2,Chemistry
804512.1000,4-HYDROXY-4-METHYL-2-PENTANONE FOR SYNTH,650,Organics,Chemical Synthesis & Discovery Chemistry,C34,LR2,Chemistry
805740.0250,2-MERCAPTOETHANOL FOR SYNTHESIS,650,Organics,Chemical Synthesis & Discovery Chemistry,C34,LR2,Chemistry
814733.0100,MAGNESIUM CHLORIDE ANHYDROUS FOR SYNTHES,650,Organics,Chemical Synthesis & Discovery Chemistry,C34,LR2,Chemistry
820543.1000,N-DODECANE FOR SYNTHESIS 1 L,650,Organics,Chemical Synthesis & Discovery Chemistry,C34,LR2,Chemistry
"['SLGP033RS', 'SLGV004SL', 'SLGVX13NL', 'SLHA033SS', 'SLHP033RB', 'SLHV033RS', 'SLHVR04NL', 'SLFGN25VS', 'SLGV013SL', 'SLHA033SB', 'SLHA033SB-1', 'SLHNX13NL', 'SLAA033SB', 'SLFA05010', 'SLFG025LS', 'SLGP033RB', 'SLGV033RS', 'SLHV004SL', 'SLLG025SS', 'SLSV025LS', 'SLVV033RS', 'SLAP02550', 'SLGS033SS', 'SLGV033RB', 'SLHP033RS']",Millex 33mm Durapore PVDF .22um Sterile,689,Cell & Screening Tools,Cell & General Workflow Tools,C09,LR4,Biology
